"","replicate_fingerprinting","sample","farm_code","sp_sample","sp_tricot","sp_id","sp_tgroup","index_final_value","source","source_who","first_time_seed","gender","treated","tricot","inder","tech_pkg","education","SEF1","SEF2","SEF3","SEF4","match","match2","match3","match4","farmer_clean_name","farmer_identified_name","original_farmer_identified_name","dna_identified_first","dna_identified_second_processed","dna_identified_second","dna_identified_third","dna_identified_fourth","gendist_match4","gendist_match3","gendist_match2","first_gen_distance","second_gen_distance","third_gen_distance","fourth_gen_distance","first_similarity","second_similarity","third_similarity","fourth_similarity","first_match","second_match","first_cat","second_cat","region","district","village","seed_origin","seed_source","first_time_seed_use","seed_cycles","area","max_ref_distance_1","sd_ref_distance_1","range_max","FCI","FCI_2","match_only_name","match_name_manual_cleaning","invFCI","invFCI_SP","count_neigh_1km","count_match_1km","ratio_match_1km","count_neigh_5km","count_match_5km","ratio_match_5km","gender_recoded"
"66",1,"F38_1A",38,"yes",1,838,"T1",7,"Reliable","Producers' association - bought","Yes",1,0,1,0,0,8,0,0,0,0,1,1,1,1,"nambi","nambi","nambi","nambi","tequila","tequila","matambu","RCB 593",0.0695581,0.0695581,0.0695581,0.0695581,0.1193337,0.1302682,0.14188081,93.04419,88.06663,86.97318,85.811919,"TRUE","FALSE","category 1","category 2","South","Colinas","Guagaral","La compré a la Asociación de productores","Reliable","Yes","NA","4",0.0041163554,0.000142799891081788,0.00425915529108179,1,1,"TRUE","TRUE",0,0,12,8,0.666666667,45,26,"0.57777777799999996",0
"67",1,"F38_2A",38,"yes",1,838,"T1",7,"Reliable","Producers' association - bought","Yes",1,0,1,0,0,8,0,0,0,0,0,0,0,0,"victoria","victoria","victoria","nambi","tequila","tequila","matambu","RCB 593",0.06846699,0.06846699,0.06846699,0.06846699,0.1182414,0.1302682,0.14215419,93.153301,88.17586,86.97318,85.784581,"FALSE","FALSE","category 1","category 2","South","Colinas","Guagaral","La compré a la Asociación de productores","Reliable","Yes","NA","3",0.0041163554,0.000142799891081788,0.00425915529108179,1,1,"FALSE","FALSE",0,0,12,8,0.666666667,45,26,"0.57777777799999996",0
"68",1,"F39_1B",39,"yes",1,255,"T1",7,"Reliable","Producers' association - bought","Yes",1,0,1,1,1,6,0,0,0,0,1,1,1,1,"victoria","victoria","victoria","victoria","tayni","matambu(2)/tayni(1)","matambu","cabecar",0.013424657,0.013424657,0.013424657,0.013424657,0.08775287,0.089539975,0.094246574,98.6575343,91.224713,91.0460025,90.5753426,"TRUE","FALSE","category 1","category 3","South","Colinas","La Virgen","La compré a la Asociación de productores","Reliable","Yes","NA","1.5",0.0024738868,0.0001425694227528,0.0026164562227528,1,1,"TRUE","TRUE",0,0,0,0,0,42,23,"0.54761904800000005",0
"69",1,"F40_1A",40,"yes",1,257,"B",6.5,"Unreliable","Bought other producers in CR","Yes",1,0,1,0,0,6,0,0,0,0,0,0,0,0,"landraces","panameno","panameno","tequila","sacapobres","sacapobres","generalito","gibre",0.08874932,0.08874932,0.08874932,0.08874932,0.109487034,0.11401099,0.120633185,91.125068,89.0512966,88.598901,87.9366815,"FALSE","FALSE","category 1","category 2","South","Colinas","La Virgen","La compré a otros productores en Costa Rica","Unreliable","Yes","NA","0.2",0.016447369,0.000422361612691621,0.0168697306126916,1,1,"FALSE","FALSE",0,0,2,1,0.5,45,25,"0.55555555599999995",0
"70",1,"F40_2A",40,"yes",1,257,"B",6.5,"Unreliable","Bought other producers in CR","Yes",1,0,1,0,0,6,0,0,0,0,0,1,1,1,"victoria","victoria","victoria","cabecar","victoria","victoria","matambu","tayni",0.09544706,0.09544706,0.09544706,0.07053035,0.09544706,0.11966046,0.12329142,92.946965,90.455294,88.033954,87.670858,"FALSE","TRUE","category 1","category 1","South","Colinas","La Virgen","De Familiares","Unreliable","Yes","NA","0.7",0.077070765,0.00190190515067399,0.078972670150674,0,0,"FALSE","FALSE",1,1,2,1,0.5,45,25,"0.55555555599999995",0
"71",1,"F41_1A",41,"yes",1,258,"T1",6.5,"Reliable","Producers' association - bought","Yes",1,0,1,1,0,6,0,0,0,0,1,1,1,1,"victoria","victoria","victoria","victoria","matambu","matambu","tayni","cabecar",0.0021917808,0.0021917808,0.0021917808,0.0021917808,0.08680175,0.09021323,0.09392114,99.78082192,91.319825,90.978677,90.607886,"TRUE","FALSE","category 1","category 1","South","Colinas","La Virgen","La compré a la Asociación de productores","Reliable","Yes","NA","3",0.0024738868,0.0001425694227528,0.0026164562227528,0,0,"TRUE","TRUE",1,1,2,0,0,40,21,"0.52500000000000002",0
"72",1,"F41_2A",41,"yes",1,258,"T1",6.5,"Reliable","Producers' association - bought","Yes",1,0,1,1,0,6,0,0,0,0,1,1,1,1,"nambi","nambi","nambi","nambi","tequila","tequila","matambu","RCB 593",0.06788441,0.06788441,0.06788441,0.06788441,0.11872271,0.12964989,0.14153005,93.211559,88.127729,87.035011,85.846995,"TRUE","FALSE","category 1","category 2","South","Colinas","La Virgen","La guardé de cosechas anteriores","Unreliable","No","3","0.5",0.0041163554,0.000142799891081788,0.00425915529108179,1,1,"TRUE","TRUE",0,0,2,0,0,40,21,"0.52500000000000002",0
"73",1,"F41_3A",41,"yes",1,258,"T1",6.5,"Reliable","Producers' association - bought","Yes",1,0,1,1,0,6,0,0,0,0,0,1,1,1,"cabecar","cabecar","cabecar","victoria","cabecar","cabecar","matambu","tayni",0.073497266,0.073497266,0.073497266,0.06575342,0.073497266,0.10946908,0.1136612,93.424658,92.6502734,89.053092,88.63388,"FALSE","TRUE","category 1","category 1","South","Colinas","La Virgen","La compré a la Asociación de productores","Reliable","Yes","NA","1",0.0024738868,0.0001425694227528,0.0026164562227528,1,1,"FALSE","FALSE",0,0,2,0,0,40,21,"0.52500000000000002",0
"74",1,"F42_1A",42,"yes",1,259,"B",7,"Unreliable","Kept it from previous season","No",1,0,0,0,0,6,1,1,1,1,0,0,0,0,"guaymi","guaymi","guaimy","uran","RCB 593","RCB 593","SEF 42","SEF 62",0.019715225,0.019715225,0.019715225,0.019715225,0.08214677,0.096721314,0.10235359,98.0284775,91.785323,90.3278686,89.764641,"FALSE","FALSE","category 1","category 1","South","Colinas","La Virgen","La guardé de cosechas anteriores","Unreliable","No","6","1",0.026475456,0.00883303640564774,0.0353084924056477,0,0,"FALSE","FALSE",1,1,4,1,0.25,45,27,"0.6",0
"75",1,"F42_2A",42,"yes",1,259,"B",7,"Unreliable","Kept it from previous season","No",1,0,0,0,0,6,0,0,0,0,0,0,0,0,"ensayo","uran","uran","nambi","tequila","tequila","matambu","RCB 593",0.051799346,0.051799346,0.051799346,0.051799346,0.12254367,0.12964989,0.14043716,94.8200654,87.745633,87.035011,85.956284,"FALSE","FALSE","category 1","category 2","South","Colinas","La Virgen","De Familiares","Unreliable","Yes","NA","1.5",0.0041163554,0.000142799891081788,0.00425915529108179,1,1,"FALSE","FALSE",0,0,4,1,0.25,45,27,"0.6",0
"76",1,"F43_1A",43,"yes",1,261,"B",4.66666666666667,"Unreliable","Kept it from previous season","No",1,0,1,1,0,6,1,1,1,1,0,0,0,0,"ensayo","uran","uran","uran","RCB 593","RCB 593(2)/tequila(1)","tequila","SEF 42",0.038882803,0.038882803,0.038882803,0.038882803,0.09545952,0.09781421,0.10567996,96.1117197,90.454048,90.218579,89.432004,"TRUE","FALSE","category 1","category 3","South","Colinas","La Virgen","La guardé de cosechas anteriores","Unreliable","No","2","1",0.026475456,0.00883303640564774,0.0353084924056477,1,1,"TRUE","TRUE",0,0,10,5,0.5,52,28,"0.53846153799999996",0
"77",1,"F43_2A",43,"yes",1,261,"B",4.66666666666667,"Unreliable","Kept it from previous season","No",1,0,1,1,0,6,0,0,0,0,1,1,1,1,"cabecar","cabecar","cabecar","cabecar","victoria","victoria","matambu","tayni",0.073537454,0.073537454,0.073537454,0.073537454,0.089687325,0.11966046,0.12055768,92.6462546,91.0312675,88.033954,87.944232,"TRUE","FALSE","category 1","category 1","South","Colinas","La Virgen","La guardé de cosechas anteriores","Unreliable","No","100","1",0.077070765,0.00190190515067399,0.078972670150674,0,0,"TRUE","TRUE",1,1,10,5,0.5,52,28,"0.53846153799999996",0
"78",1,"F44_1A",44,"yes",1,263,"T1",6,"Unreliable","Kept it from previous season","No",1,0,1,0,1,6,0,0,0,0,0,0,0,0,"guaymi","guaymi","guaumy","nambi","tequila","tequila","matambu","RCB 593",0.06752323,0.06752323,0.06752323,0.06752323,0.11795293,0.1289084,0.14164384,93.247677,88.204707,87.10916,85.835616,"FALSE","FALSE","category 1","category 2","South","Colinas","La Virgen","La guardé de cosechas anteriores","Unreliable","No","2","1",0.0041163554,0.000142799891081788,0.00425915529108179,1,1,"FALSE","FALSE",0,0,2,1,0.5,45,25,"0.55555555599999995",0
"79",1,"F44_2A",44,"yes",1,263,"T1",6,"Unreliable","Kept it from previous season","No",1,0,1,0,1,6,1,1,1,1,0,1,1,1,"tequila","tiquete","tiqute","uran","tequila","tequila(2)/uran(1)","RCB 593","victoria",0.12036026,0.12036026,0.12036026,0.118838996,0.12036026,0.13551913,0.14191781,88.1161004,87.963974,86.448087,85.808219,"FALSE","FALSE","category 4","category 4","South","Colinas","La Virgen","La guardé de cosechas anteriores","Unreliable","No","2","0.7",0.026475456,0.00883303640564774,0.0353084924056477,1,1,"FALSE","FALSE",0,0,2,1,0.5,45,25,"0.55555555599999995",0
